station,date,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,TSUN
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/9/2000,9.17,0,0,54,74,34,736
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/10/2000,10.51,0,0,66,76,55,351
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/11/2000,9.62,0.01,0,73,80,65,484
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/12/2000,10.96,0.82,0,65,70,59,378
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/13/2000,6.49,0,0,62,73,51,622
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/14/2000,4.92,0.01,0,61,72,49,499
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/15/2000,10.51,0,0,70,81,58,589
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/16/2000,5.82,0,0,75,85,64,582
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/17/2000,5.82,0,0,72,84,60,615
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/18/2000,8.95,0,0,72,80,64,517
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/19/2000,12.97,0,0,77,87,66,646
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/20/2000,9.4,0,0,69,85,52,656
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/21/2000,6.71,0,0,65,82,47,755
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/22/2000,10.96,0,0,63,82,44,642
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/23/2000,9.84,0,0,82,97,66,734
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/24/2000,9.17,0,0,72,86,56,790
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/25/2000,4.92,0,0,69,87,51,791
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/26/2000,6.49,0,0,71,88,54,767
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/27/2000,8.72,0,0,,89,58,
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/28/2000,6.04,0,0,73,86,60,661
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/29/2000,8.5,0,0,73,86,59,557
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/30/2000,13.65,0,0,79,86,71,458
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/1/2000,6.93,3.06,0,68,75,61,235
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/2/2000,4.92,0.18,0,68,76,60,563
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/3/2000,5.59,0,0,70,83,56,605
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/4/2000,8.05,0,0,78,87,68,363
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/5/2000,11.86,0,0,77,87,67,315
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/6/2000,14.99,0,0,80,88,71,420
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/7/2000,13.2,0,0,80,89,71,535
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/8/2000,13.42,0,0,80,90,70,446
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/9/2000,7.61,0.83,0,79,86,72,225
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/10/2000,9.62,0,0,80,89,71,364
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/11/2000,13.87,0,0,82,90,74,632
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/12/2000,13.42,0.37,0,79,91,67,180
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/13/2000,14.32,0,0,72,81,62,663
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/14/2000,7.16,0,0,70,81,59,677
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/15/2000,8.28,0,0,72,86,57,751
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/16/2000,16.11,0,0,82,90,73,599
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/17/2000,18.79,0,0,81,88,73,640
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/18/2000,13.65,0,0,82,88,75,542
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/19/2000,8.95,0.15,0,0,90,63,0
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/20/2000,6.04,0.05,0,70,77,63,146
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/21/2000,3.13,0,0,76,89,62,0
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/22/2000,6.49,0,0,78,92,63,829
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/23/2000,11.86,0,0,82,92,71,0
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/24/2000,12.97,0,0,84,95,72,680
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/25/2000,13.65,0,0,86,94,77,0
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/26/2000,13.65,0,0,86,93,78,344
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/27/2000,10.51,0.14,0,79,90,68,369
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/28/2000,3.8,0,0,79,90,68,611
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/29/2000,4.7,0,0,80,92,68,0
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/30/2000,7.83,0,0,82,93,71,745
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/31/2000,9.17,0,0,81,93,69,687
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/1/2000,9.62,0,0,81,94,68,609
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/2/2000,6.71,0,0,80,93,66,406
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/3/2000,8.05,0,0,84,94,74,306
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/4/2000,7.61,1.48,0,79,86,71,138
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/5/2000,10.29,0,0,78,87,69,500
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/6/2000,8.72,0,0,75,87,63,832
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/7/2000,4.47,0,0,73,86,60,843
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/8/2000,6.93,0.01,0,73,85,61,228
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/9/2000,6.71,1.09,0,75,77,72,0
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/10/2000,8.72,0.42,0,80,87,72,137
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/11/2000,8.72,0,0,81,89,72,515
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/12/2000,6.71,0.21,0,81,89,72,445
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/13/2000,9.4,0,0,79,88,70,441
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/14/2000,12.53,0,0,83,90,75,445
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/15/2000,10.96,0,0,83,90,75,
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/16/2000,14.09,0,0,84,93,75,501
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/17/2000,8.05,0,0,83,90,75,487
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/18/2000,5.37,0.11,0,82,89,74,368
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/19/2000,9.84,0.34,0,82,91,73,445
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/20/2000,13.65,0,0,84,91,77,566
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/21/2000,11.63,0,0,85,94,76,514
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/22/2000,10.51,0,0,84,92,75,559
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/23/2000,12.53,0,0,84,93,75,724
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/24/2000,13.42,0,0,84,94,73,764
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/25/2000,11.63,0,0,85,94,75,601
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/26/2000,9.4,0,0,85,93,76,566
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/27/2000,7.16,0,0,85,94,75,613
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/28/2000,6.71,0,0,82,93,70,724
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/29/2000,6.04,0,0,82,94,70,663
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",6/30/2000,8.95,0,0,82,95,68,786
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",7/1/2000,10.74,0,0,85,96,73,616
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",7/2/2000,12.08,0,0,85,97,73,627
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",7/3/2000,13.2,0,0,86,97,74,776
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",7/4/2000,10.74,0,0,85,96,73,486
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",7/5/2000,7.38,0,0,83,96,69,772
