age,gender,ethnicity,gameplayFreq,gambling,esports,token,simulated,real_money,lootbox,problem_gambling,gaming_disorder,mainGame
61,0,0,0,5,0,0,0,0,1,0,0,I don't play Video games
68,0,0,0,1,0,0,0,0,1,0,0,"i do not have time to play games, my small farm needs me to concentrate."
58,0,1,1,11,0,0,0,0,0,0,0,Guild Wars 2
31,0,0,0,6,0,0,0,0,1,0,0,GTA V
47,0,0,0,10,0,0,0,0,0,0,0,GTA
49,0,0,0,3,0,0,0,0,1,0,0,GTA
41,0,1,0,2,0,0,0,0,1,0,0,grand tourismo
25,0,0,1,7,0,0,0,0,0,0,0,Grand theft auto 5
26,0,1,1,0,0,0,0,0,0,0,0,Grand Theft Auto 4
66,0,0,0,6,0,0,0,0,1,0,0,Governor of poker
50,0,0,1,3,0,0,0,0,1,0,0,Golf clash
58,0,0,0,4,0,0,0,0,1,0,0,gears of war
18,0,0,0,0,0,0,0,0,1,0,0,Forza horizon
48,0,0,1,9,0,0,1,1,1,1,0,Fortnite
41,0,0,1,4,0,0,1,0,1,0,0,Football manager pc
42,0,0,1,8,0,0,0,0,0,1,0,Football Manager
37,0,0,1,6,0,0,0,0,0,0,0,Football Manager
38,0,0,1,9,0,0,0,0,0,0,0,football manager
47,0,0,0,2,0,0,0,0,1,0,0,Football Chairman
69,0,0,0,0,0,0,0,0,1,0,0,fifa19
59,0,0,1,1,0,0,0,0,1,0,0,fifa17
38,0,1,0,6,1,0,0,0,1,0,0,Fifa?
38,0,1,1,5,0,0,0,0,1,1,0,FIFA 2019
43,0,1,1,10,0,0,1,0,0,0,0,fifa 2018
54,0,0,1,11,0,0,1,0,0,0,0,FIFA 19
60,0,0,1,4,0,0,0,0,1,0,0,Fifa 19
40,0,0,1,6,0,0,0,0,0,1,0,fifa 18
40,0,0,0,2,0,0,0,0,1,0,0,FIFA
36,0,1,1,6,0,0,0,0,1,0,0,Fifa
19,0,1,1,0,0,0,0,0,0,0,0,Fifa
64,0,0,0,0,0,0,0,0,1,0,0,Fifa
28,0,0,1,6,0,1,1,0,1,0,0,Fifa
52,0,1,1,11,0,0,0,0,0,1,0,fif 2019
25,0,0,1,10,0,0,0,0,1,0,0,Farmville
55,0,0,1,6,0,0,0,0,0,1,0,Fallout 3
60,0,0,1,4,0,0,0,0,1,0,0,Fallout
42,0,0,0,7,0,0,0,0,0,0,0,"eve, but have also been playing fallout until recently"
63,0,0,1,4,0,0,0,0,0,0,0,Elvenar city building game on PC
67,0,0,0,3,0,0,0,0,1,0,0,Elite dangerous
46,0,0,1,4,0,0,1,0,1,0,0,dragon age
51,0,0,0,2,0,0,0,0,1,0,0,Doom
27,0,0,1,4,0,1,0,0,1,0,0,Crash Team Racing
25,0,0,1,8,0,0,1,0,0,0,0,Crash Team Racing
41,0,1,1,1,0,0,0,0,1,1,0,Console
54,0,0,1,3,0,0,0,0,1,0,0,Command and Conquer
49,0,0,1,6,0,0,0,0,1,0,0,COD
39,0,0,1,3,0,0,0,0,0,0,0,Civilization
41,0,0,0,11,0,0,0,0,1,0,0,Civilization
51,0,0,0,3,0,0,0,0,1,0,0,Chuckie Egg
66,0,0,0,1,0,0,0,0,1,0,0,Candy Crush
48,0,0,1,5,0,0,0,0,0,0,0,candy crush
32,0,0,1,3,0,0,0,0,1,0,0,candy crush
59,0,0,1,7,0,0,0,0,1,0,0,CALL OF DUTY
58,0,0,1,5,0,0,0,0,1,1,0,CALL OF DUTY
40,0,0,0,3,0,0,0,0,1,0,0,Call Of Duty
61,0,0,1,7,0,0,0,0,0,1,0,Call of duty
42,0,0,1,7,1,0,0,0,0,0,0,Block Hexa
39,0,0,1,10,0,0,0,0,0,1,0,Battlefield 1
34,0,0,1,1,0,0,0,0,1,0,0,Batman
38,0,0,1,8,0,0,1,0,1,0,0,assassins creed series
38,0,0,1,1,0,0,0,0,1,0,0,Arma 3
45,0,0,1,9,0,0,1,0,0,0,0,angry birds
65,1,0,1,2,0,0,0,0,1,0,0,Words With Friends
42,1,1,0,4,0,0,0,0,1,0,0,Words
70,1,0,1,7,0,0,1,0,1,0,0,township
21,1,1,0,2,1,0,0,0,1,0,0,toon blast
18,1,0,0,1,0,0,0,0,1,0,0,The Sims 3
56,1,0,1,0,0,0,0,0,1,0,0,The Sims
26,1,0,1,7,0,1,1,1,1,0,0,The Sims
47,1,1,1,2,0,0,0,0,1,1,0,The sims
27,1,0,1,0,0,0,0,0,1,1,0,the sims
48,1,0,0,0,0,0,0,0,1,0,0,The Simpsons Tapped Out
34,1,0,1,9,0,0,0,0,1,0,0,Super Marion brow
68,1,0,0,7,0,0,0,0,1,0,0,Sugar crush
27,1,0,0,6,0,0,0,0,1,0,0,spyro
58,1,0,1,5,0,0,0,0,1,1,0,Spider
41,1,1,1,0,0,0,0,0,1,0,0,Solitaire
47,1,0,1,6,0,0,0,0,1,0,0,Solitaire
60,1,0,0,5,0,0,0,0,1,0,0,Solitaire
32,1,0,0,8,1,1,0,0,1,1,0,Sims freeplay
43,1,0,1,7,0,0,0,0,1,0,0,scrabble online
69,1,0,0,4,0,0,0,0,1,0,0,scrabble
50,1,0,0,5,0,0,0,0,1,0,0,Rock band
29,1,0,1,6,0,0,0,0,1,0,0,Red Dead Redemption 2
58,1,0,1,8,0,0,0,0,1,1,0,Puzzly Words on Facebook
67,1,0,1,4,0,0,0,0,1,0,0,Puzzles
23,1,0,1,10,1,1,1,1,1,0,0,pub g
43,1,0,0,7,0,1,0,0,1,1,0,Professor Layton
30,1,1,1,2,0,0,0,0,0,0,0,Pocket Camp
31,1,0,0,6,0,0,0,0,1,0,0,Peak brain training
