date,year,month,day,name,temperature,pressure,precipitation
5/25/2014,2014,5,25,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",78.2,1014,0.02
5/26/2014,2014,5,26,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",73.3,1014.8,0.11
5/27/2014,2014,5,27,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",67.2,1013.5,3.09
5/28/2014,2014,5,28,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",73.6,1011.3,0.11
5/29/2014,2014,5,29,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",75,1010.9,0
5/30/2014,2014,5,30,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",78,1009.9,0
5/31/2014,2014,5,31,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",79.8,1010.3,0
6/1/2014,2014,6,1,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",78.2,1011.3,0
6/2/2014,2014,6,2,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",80.5,1011.8,0
6/3/2014,2014,6,3,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",80.9,1013.4,0
6/4/2014,2014,6,4,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",80.2,1011.3,0
6/5/2014,2014,6,5,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",81,1009.3,0
6/6/2014,2014,6,6,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",81.1,1010.6,0
6/7/2014,2014,6,7,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",81.4,1011.4,0
6/8/2014,2014,6,8,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",82.1,1010.8,0
6/9/2014,2014,6,9,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",79.6,1008.4,0
6/10/2014,2014,6,10,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",77.1,1010.2,0.55
6/11/2014,2014,6,11,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",77.6,1010.6,0
6/12/2014,2014,6,12,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",83.8,1008.7,0
6/13/2014,2014,6,13,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",78.8,1012.4,1.27
6/14/2014,2014,6,14,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",79.9,1011.6,0
6/15/2014,2014,6,15,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",82.5,1010.7,0
6/16/2014,2014,6,16,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",83.5,1013.4,0
6/17/2014,2014,6,17,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",83.7,1014,0
6/18/2014,2014,6,18,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",83.3,1013.2,0
6/19/2014,2014,6,19,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",82.6,1014.3,0.02
6/20/2014,2014,6,20,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",80.7,1016,0.01
6/21/2014,2014,6,21,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",81.7,1014.4,0
6/22/2014,2014,6,22,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",82.4,1011.7,0
6/23/2014,2014,6,23,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",79.5,1011.5,0
6/24/2014,2014,6,24,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",81.4,1014.2,0.27
6/25/2014,2014,6,25,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",78.8,1015,0.24
6/26/2014,2014,6,26,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",76.6,1013.3,0.49
6/27/2014,2014,6,27,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",80.3,1010.6,0.01
6/28/2014,2014,6,28,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",83.4,1010.5,0
6/29/2014,2014,6,29,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",85.1,1013.5,0
6/30/2014,2014,6,30,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",84.6,1013.6,0
7/1/2014,2014,7,1,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",83.6,1012.2,0
7/2/2014,2014,7,2,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",82.1,1014.9,0
7/3/2014,2014,7,3,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",82.3,1017.1,0.01
7/4/2014,2014,7,4,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",77.1,1020.2,0.07
7/5/2014,2014,7,5,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",78.3,1020.1,0
7/6/2014,2014,7,6,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",78.7,1016.6,0
7/7/2014,2014,7,7,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",82.5,1014.7,0
7/8/2014,2014,7,8,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",83.1,1014.9,0
7/9/2014,2014,7,9,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",82.7,1015.8,0
7/10/2014,2014,7,10,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",81.1,1015.2,0
7/11/2014,2014,7,11,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",79.4,1017.5,0
7/12/2014,2014,7,12,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",80.9,1018.9,0
7/13/2014,2014,7,13,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",84.5,1017.1,0
7/14/2014,2014,7,14,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",84.9,1015,0
7/15/2014,2014,7,15,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",82.9,1013.8,0
7/16/2014,2014,7,16,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",80.9,1013.6,0.06
7/17/2014,2014,7,17,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",82.2,1010.5,0.31
7/18/2014,2014,7,18,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",76.8,1011.5,5.05
7/19/2014,2014,7,19,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",76.3,1014.8,0.25
7/20/2014,2014,7,20,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",81,1013.8,0
7/21/2014,2014,7,21,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",85.4,1013.6,0
7/22/2014,2014,7,22,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",84.8,1014.7,0
7/23/2014,2014,7,23,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",85.5,1015.7,0
7/24/2014,2014,7,24,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",83.3,1014.8,0
7/25/2014,2014,7,25,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",83.7,1014.5,0.09
7/26/2014,2014,7,26,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",86.1,1014,0
7/27/2014,2014,7,27,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",86,1014.9,0
7/28/2014,2014,7,28,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",85.8,1016.5,0
7/29/2014,2014,7,29,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",85.3,1016.6,0
7/30/2014,2014,7,30,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",83.1,1015,0
7/31/2014,2014,7,31,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",85,1012.7,0
8/1/2014,2014,8,1,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",82.7,1014.3,0
8/2/2014,2014,8,2,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",78.1,1015.7,0
8/3/2014,2014,8,3,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",78.9,1015.8,0
8/4/2014,2014,8,4,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",82.1,1014.7,0
8/5/2014,2014,8,5,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",81.7,1015.4,0
8/6/2014,2014,8,6,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",84.8,1014.7,0
8/7/2014,2014,8,7,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",87.3,1011.7,0
8/8/2014,2014,8,8,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",88,1011.2,0
8/9/2014,2014,8,9,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",87.4,1013.2,0
8/10/2014,2014,8,10,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",88.5,1014,0
8/11/2014,2014,8,11,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",86.8,1014.9,0
8/12/2014,2014,8,12,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",84.2,1015.7,0.05
8/13/2014,2014,8,13,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",83,1015.7,0
8/14/2014,2014,8,14,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",82,1015,0
8/15/2014,2014,8,15,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",85.7,1013,0
8/16/2014,2014,8,16,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",87.1,1011.7,0
8/17/2014,2014,8,17,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",87.7,1012.1,0
8/18/2014,2014,8,18,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",88.4,1012,0
8/19/2014,2014,8,19,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",85.6,1011.2,0
8/20/2014,2014,8,20,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",87.6,1011.5,0
8/21/2014,2014,8,21,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",88.5,1015.4,0
8/22/2014,2014,8,22,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",88.6,1015,0
8/23/2014,2014,8,23,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",86,1013.8,0
8/24/2014,2014,8,24,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",87.5,1011.7,0
